Adjustment_Type,Country,Day,Video_ID,Video_Channel_ID,Asset_ID,Asset_Title,Asset_Label,Claiming_Asset_Type,Custom_ID,ISRC,ISWC,HFA_Song_Code,Writers,Composition_Right_Type,Ownership_Percentage,Claim_Quality,Revshare_Rate_Type,Offer,Owned_Views,Monetized_Views___Audio,Monetized_Views___Audio_Visual,Monetized_Views,YouTube_Revenue_Split,Partner_Revenue___Pro_Rata,Partner_Revenue___Per_Sub_Min,Partner_Revenue
None,ID,20220527,#NAME?,oPtolHZaDFwwanXDgjZPIQ,A829961042109380,Sholawat Nariyah,Earth Rise LTD - Pub,Composition,NANCYDUAN052122nmCOMPa023,,,,Nancy Duan,Performance,100,UGC,Cover,YouTube Music monthly subscription,1,0,1,1,0.001264,7.80E-05,0,7.80E-05
None,ID,20220527,#NAME?,oPtolHZaDFwwanXDgjZPIQ,A829961042109380,Sholawat Nariyah,AVM,Composition,NANCYDUAN052122nmCOMPa023,,,,Nancy Duan,Mechanical,100,UGC,Cover,YouTube Music monthly subscription,1,0,1,1,0.001264,7.80E-05,0,7.80E-05
None,IN,20220503,#NAME?,LN5Wi8pdTpfGvyB2uDyXag,A517897121703802,"Mit Mit - Sunil Soni, Alka Chandrakar",CMG,Composition,A493603354419483,,,,,Performance,100,UGC,Cover,YouTube Premium monthly subscription,1,0,1,1,0.000764,3.90E-05,0,3.90E-05
None,IN,20220503,#NAME?,LN5Wi8pdTpfGvyB2uDyXag,A517897121703802,"Mit Mit - Sunil Soni, Alka Chandrakar",MMARIHA,Composition,A493603354419483,,,,,Mechanical,100,UGC,Cover,YouTube Premium monthly subscription,1,0,1,1,0.000764,3.90E-05,0,3.90E-05
None,MY,20220527,#NAME?,lfkS7YM1kLm1UTP4LCZE4A,A501726546972237,Allah - Allah Aghisna,Blac Youngsta - Pub,Composition,NANCYDUAN052122nmCOMPa020,,T3016054954,,Nancy Duan,Mechanical,100,UGC,Cover,YouTube Premium monthly subscription,1,0,1,1,0.001923,0.000105,0,0.000105
None,ID,20220526,02i372FyJLI,mhiSq4B5xOcJogKZMJ2p4w,A576466045430506,Ya Robbi Sholli Ala Rosul,omar guetfa - Pub,Music Video,NANCYDUAN052122nmCOMPa040,,,,Nancy Duan,Mechanical,100,Partner-provided,In Master,YouTube Premium monthly subscription,1,0,1,1,0.001286,6.10E-05,0,6.10E-05
None,ID,20220526,02i372FyJLI,mhiSq4B5xOcJogKZMJ2p4w,A576466045430506,Ya Robbi Sholli Ala Rosul,Jetto/Icewr Vez/Maxxx50 - Pub,Music Video,NANCYDUAN052122nmCOMPa040,,,,Nancy Duan,Performance,100,Partner-provided,In Master,YouTube Premium monthly subscription,1,0,1,1,0.001286,6.10E-05,0,6.10E-05
None,IN,20220511,0UWgkyYv2_o,eRorwWVeUb7oHKKidVK_CA,A877293799828758,"Jiya Mor Tadpat He - Chhaya Chandrakar, Shekh Amin",Jetto/Icewr/Maxx25/KCG25 - Pub,Music Video,A226423517739955,,,,,Mechanical,100,Partner-provided,In Master,YouTube Premium monthly subscription,1,0,1,1,0.000764,3.90E-05,0,3.90E-05
None,IN,20220504,0UWgkyYv2_o,eRorwWVeUb7oHKKidVK_CA,A877293799828758,"Jiya Mor Tadpat He - Chhaya Chandrakar, Shekh Amin",Blac25/25Rchs10/Tay40 - Pub,Music Video,A226423517739955,,,,,Mechanical,100,Partner-provided,In Master,YouTube Premium monthly subscription,1,0,1,1,0.000764,3.90E-05,0,3.90E-05
None,IN,20220524,0UWgkyYv2_o,eRorwWVeUb7oHKKidVK_CA,A877293799828758,"Jiya Mor Tadpat He - Chhaya Chandrakar, Shekh Amin",Blac Youngsta/Lil Migo - Pub,Music Video,A226423517739955,,,,,Performance,100,Partner-provided,In Master,YouTube Premium monthly subscription,3,0,3,3,0.002292,0.000117,0,0.000117
None,IN,20220522,0UWgkyYv2_o,eRorwWVeUb7oHKKidVK_CA,A877293799828758,"Jiya Mor Tadpat He - Chhaya Chandrakar, Shekh Amin",Blac Youngsta/Stunna4V - Pub,Music Video,A226423517739955,,,,,Mechanical,100,Partner-provided,In Master,YouTube Premium monthly subscription,1,0,1,1,0.000764,3.90E-05,0,3.90E-05
None,IN,20220504,0UWgkyYv2_o,eRorwWVeUb7oHKKidVK_CA,A877293799828758,"Jiya Mor Tadpat He - Chhaya Chandrakar, Shekh Amin",Blac Youngsta/DrumGod - Pub,Music Video,A226423517739955,,,,,Performance,100,Partner-provided,In Master,YouTube Premium monthly subscription,1,0,1,1,0.000764,3.90E-05,0,3.90E-05
None,IN,20220518,0UWgkyYv2_o,eRorwWVeUb7oHKKidVK_CA,A877293799828758,"Jiya Mor Tadpat He - Chhaya Chandrakar, Shekh Amin",BlacY/25R/KrltnB/LdnB - Pub,Music Video,A226423517739955,,,,,Performance,100,Partner-provided,In Master,YouTube Premium monthly subscription,1,0,1,1,0.000764,3.90E-05,0,3.90E-05
None,MY,20220529,bXlTasL6_fs,jALBQMdVnuoj01YdOdk-fw,A440092856832716,Hasbi Robbi Jalallah,,Sound Recording,NANCYDUAN052122nmCOMPa001,IDA832003002,T3066174225,,Nancy Duan,Mechanical,100,UGC,In Master,YouTube Premium monthly subscription,1,0,1,1,0.000579,3.30E-05,0,3.30E-05
None,MY,20220531,c4Oo2AESOcI,xVWwEKF2W-Q_E-Iz9Di-jg,A440092856832716,Hasbi Robbi Jalallah,,Sound Recording,NANCYDUAN052122nmCOMPa001,IDA832003002,T3066174225,,Nancy Duan,Mechanical,100,UGC,In Master,YouTube Music monthly subscription,1,0,0,0,0,0,0,0
None,TH,20220526,cNr4_z3KOaw,zys8pC2r-Ssnk8swjugKvg,A440092856832716,Hasbi Robbi Jalallah,,Sound Recording,NANCYDUAN052122nmCOMPa001,IDA832003002,T3066174225,,Nancy Duan,Performance,100,UGC,In Master,YouTube Premium monthly subscription,1,0,1,1,0.000118,8.00E-06,0,8.00E-06
None,MY,20220524,cNr4_z3KOaw,zys8pC2r-Ssnk8swjugKvg,A440092856832716,Hasbi Robbi Jalallah,,Sound Recording,NANCYDUAN052122nmCOMPa001,IDA832003002,T3066174225,,Nancy Duan,Mechanical,100,UGC,In Master,YouTube Premium monthly subscription,1,0,1,1,0.000114,7.00E-06,0,7.00E-06
None,MY,20220530,cNr4_z3KOaw,zys8pC2r-Ssnk8swjugKvg,A440092856832716,Hasbi Robbi Jalallah,,Sound Recording,NANCYDUAN052122nmCOMPa001,IDA832003002,T3066174225,,Nancy Duan,Mechanical,100,UGC,In Master,YouTube Premium monthly subscription,1,0,1,1,0.000114,7.00E-06,0,7.00E-06
None,MY,20220529,cNr4_z3KOaw,zys8pC2r-Ssnk8swjugKvg,A440092856832716,Hasbi Robbi Jalallah,,Sound Recording,NANCYDUAN052122nmCOMPa001,IDA832003002,T3066174225,,Nancy Duan,Mechanical,100,UGC,In Master,YouTube Premium monthly subscription,1,0,1,1,0.000114,7.00E-06,0,7.00E-06
None,TH,20220526,cNr4_z3KOaw,zys8pC2r-Ssnk8swjugKvg,A440092856832716,Hasbi Robbi Jalallah,,Sound Recording,NANCYDUAN052122nmCOMPa001,IDA832003002,T3066174225,,Nancy Duan,Mechanical,100,UGC,In Master,YouTube Premium monthly subscription,1,0,1,1,0.000118,8.00E-06,0,8.00E-06
None,EG,20220526,cNr4_z3KOaw,zys8pC2r-Ssnk8swjugKvg,A440092856832716,Hasbi Robbi Jalallah,,Sound Recording,NANCYDUAN052122nmCOMPa001,IDA832003002,T3066174225,,Nancy Duan,Mechanical,100,UGC,In Master,YouTube Music monthly subscription,1,0,1,1,2.00E-05,2.00E-06,0,2.00E-06
None,SG,20220527,cNr4_z3KOaw,zys8pC2r-Ssnk8swjugKvg,A440092856832716,Hasbi Robbi Jalallah,,Sound Recording,NANCYDUAN052122nmCOMPa001,IDA832003002,T3066174225,,Nancy Duan,Mechanical,100,UGC,In Master,YouTube Premium monthly subscription,1,0,1,1,0.000352,2.00E-05,0,2.00E-05
