AdSense Earnings Month,Channel ID,Revenue Source,Local Currency,Total Revenue By Source,US Sourced Revenue,Tax Withholding Rate,Tax Withheld Amount
202301,,Ads Revenue,HKD,112715.756468,4510.303922,30.00,1353.091177
202301,,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,5642.273595,1806.835098,30.00,542.050529
202301,UC-Ud21m_xC-vALzXKrwXLSA,Ads Revenue,HKD,0.524923,0,15.00,0
202301,UC-Ud21m_xC-vALzXKrwXLSA,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.000226,0,15.00,0
202301,UC-VOszTr2-lUCU0ao9nGCrg,Ads Revenue,HKD,10.869706,0.016544,15.00,0.002482
202301,UC-VOszTr2-lUCU0ao9nGCrg,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.001218,0,15.00,0
202301,UC-XOfIF_ZKB0CL7DQsKD6Ew,Ads Revenue,HKD,59.956962,1.143337,15.00,0.171501
202301,UC-XOfIF_ZKB0CL7DQsKD6Ew,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.098672,0.055057,15.00,0.008259
202301,UC-ZxkRb1N4azqXjpceWxQDg,Ads Revenue,HKD,8.344169,0.066706,24.00,2.002601
202301,UC-ZxkRb1N4azqXjpceWxQDg,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.004705,0,24.00,0.001129
202301,UC05AamrMF6ZvFBlRaoTdjMw,Ads Revenue,HKD,26.48095,1.626381,15.00,0.243957
202301,UC05AamrMF6ZvFBlRaoTdjMw,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.175687,0.019545,15.00,0.002932
202301,UC074n_ewNUh5J_AvR4Vb-wg,Ads Revenue,HKD,51.185069,0.175697,24.00,12.284417
202301,UC074n_ewNUh5J_AvR4Vb-wg,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.006527,0.005058,24.00,0.001566
202301,UC0UrAp1aMfjAzOdQTtqQhVw,Ads Revenue,HKD,1028.3299,21.339937,15.00,3.200991
202301,UC0UrAp1aMfjAzOdQTtqQhVw,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.778498,0.440492,15.00,0.066074
202301,UC0e_ZTByXBHS2SqXKqcEbtA,Ads Revenue,HKD,330.501606,2.890875,15.00,0.433631
202301,UC0e_ZTByXBHS2SqXKqcEbtA,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.911311,0.596719,15.00,0.089508
202301,UC0irxaNi2VNwzgidRELpMkQ,Ads Revenue,HKD,564.355977,9.291933,15.00,1.39379
202301,UC0irxaNi2VNwzgidRELpMkQ,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,3.131559,1.347878,15.00,0.202182
202301,UC0jFtqmESZKtNWHMvK6vo4A,Ads Revenue,HKD,4.085273,0.11438,15.00,0.017157
202301,UC0jFtqmESZKtNWHMvK6vo4A,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.012603,0,15.00,0
202301,UC0oDXRNITzEVwFAa8hWA_3Q,Ads Revenue,HKD,152.286892,7.670541,15.00,1.150581
202301,UC0oDXRNITzEVwFAa8hWA_3Q,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,1.835436,0.215223,15.00,0.032283
202301,UC0svBsOOyAMvO9v6pq2SqiA,Ads Revenue,HKD,107.018834,1.314087,15.00,0.197113
202301,UC0svBsOOyAMvO9v6pq2SqiA,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.136998,0.097588,15.00,0.014638
202301,UC0sxnutqT1mrKhWqW8FQrKA,Ads Revenue,HKD,52.332895,2.950337,15.00,0.442551
202301,UC0sxnutqT1mrKhWqW8FQrKA,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.708363,0.078472,15.00,0.011771
202301,UC0u0nlrFHzTdK0LQOTVnkRQ,Ads Revenue,HKD,5949.786977,54.379689,24.00,1427.948874
202301,UC0u0nlrFHzTdK0LQOTVnkRQ,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,8.505482,3.80045,24.00,2.041316
202301,UC1Hs_fHfpobpn_D7brybqMA,Ads Revenue,HKD,48.830171,0.954965,15.00,0.143245
202301,UC1Hs_fHfpobpn_D7brybqMA,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.03761,0.006872,15.00,0.001031
202301,UC1OVCVp7VnQClJqLNBUUGPA,Ads Revenue,HKD,35.482415,0.651143,15.00,0.097671
202301,UC1OVCVp7VnQClJqLNBUUGPA,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.132699,0.0342,15.00,0.00513
202301,UC1RCnrPZUeRF3S-TnZl4O1g,Ads Revenue,HKD,27.690116,1.544408,15.00,0.231661
202301,UC1RCnrPZUeRF3S-TnZl4O1g,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.074451,0,15.00,0
202301,UC1kaKqxyzZ8xC7YyHGftCFA,Ads Revenue,HKD,539.254951,9.304569,15.00,1.395685
202301,UC1kaKqxyzZ8xC7YyHGftCFA,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.879131,0.430011,15.00,0.064502
202301,UC1nlgRoxnLe1rm7a4ZZV96w,Ads Revenue,HKD,56.331971,0.90186,15.00,0.135279
202301,UC1nlgRoxnLe1rm7a4ZZV96w,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.112631,0.106604,15.00,0.015991
202301,UC1udBDCBATbUMw_TGsiA4SA,Ads Revenue,HKD,8.51088,0.118125,15.00,0.017719
202301,UC1udBDCBATbUMw_TGsiA4SA,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.008231,0.0062,15.00,0.00093
202301,UC23PXs_pRNzBvrtTn8XE9ng,Ads Revenue,HKD,134.442585,1.92207,15.00,0.288311
202301,UC23PXs_pRNzBvrtTn8XE9ng,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.166614,0.052805,15.00,0.007921
202301,UC27DshOutinF49DPhL3xR8g,Ads Revenue,HKD,300.810286,5.479299,15.00,0.821895
202301,UC27DshOutinF49DPhL3xR8g,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.531504,0.302216,15.00,0.045332
202301,UC2XrtbGfp7UXLGwssdB1zyw,Ads Revenue,HKD,244.664556,91.629665,15.00,13.74445
202301,UC2XrtbGfp7UXLGwssdB1zyw,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,5.578856,2.449463,15.00,0.367419
202301,UC2cnjdWaJ4rY4HZZFm5u7wQ,Ads Revenue,HKD,2.576774,0.015544,24.00,0.618426
202301,UC2cnjdWaJ4rY4HZZFm5u7wQ,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.003588,0,24.00,0.000861
202301,UC2eiZ-2JDY9gZ98YiLIU4Mw,Ads Revenue,HKD,913.800684,16.847645,24.00,219.312164
202301,UC2eiZ-2JDY9gZ98YiLIU4Mw,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.683146,0.620137,24.00,0.163955
202301,UC36Wz6XYDA5IaSWXMM6igJw,Ads Revenue,HKD,1.748339,0.020463,24.00,0.419601
202301,UC36Wz6XYDA5IaSWXMM6igJw,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.000015,0,24.00,0.000004
